location_name,location,Week,tavg,pres,year,epiweek,week,enddate,pavg
Michigan,26,2010-01-16,-2.971428571428572,1022.3333333333334,2010,201002,2,2010-01-16,1023.145238095238
Minnesota,27,2010-01-16,-7.580952380952381,1016.2666666666668,2010,201002,2,2010-01-16,1021.247619047619
Mississippi,28,2010-01-16,4.09047619047619,1011.7333333333332,2010,201002,2,2010-01-16,1026.257142857143
Missouri,29,2010-01-16,-1.1095238095238094,1020.4666666666666,2010,201002,2,2010-01-16,1025.795238095238
Montana,30,2010-01-16,3.3238095238095235,1010.8666666666667,2010,201002,2,2010-01-16,1017.8738095238095
Nebraska,31,2010-01-16,-6.2,1019.7666666666668,2010,201002,2,2010-01-16,1024.1523809523808
Nevada,32,2010-01-16,8.028571428571428,1014.9333333333334,2010,201002,2,2010-01-16,1020.4333333333333
New Hampshire,33,2010-01-16,-4.885714285714285,1018.0333333333333,2010,201002,2,2010-01-16,1018.4857142857143
New Jersey,34,2010-01-16,-0.5142857142857143,1021.7333333333332,2010,201002,2,2010-01-16,1021.6999999999999
New Mexico,35,2010-01-16,2.5047619047619043,1018.2,2010,201002,2,2010-01-16,1022.4428571428572
New York,36,2010-01-16,-2.3904761904761904,1021.8000000000001,2010,201002,2,2010-01-16,1021.7952380952381
North Carolina,37,2010-01-16,1.985714285714286,1023.7333333333332,2010,201002,2,2010-01-16,1025.1142857142859
North Dakota,38,2010-01-16,-6.580952380952381,1009.85,2010,201002,2,2010-01-16,1018.3500000000001
Ohio,39,2010-01-16,-2.8000000000000003,1022.9333333333334,2010,201002,2,2010-01-16,1025.6238095238095
Oklahoma,40,2010-01-16,3.8047619047619046,1018.8666666666667,2010,201002,2,2010-01-16,1025.2190476190476
Oregon,41,2010-01-16,7.942857142857142,1009.2666666666668,2010,201002,2,2010-01-16,1013.4523809523808
Pennsylvania,42,2010-01-16,-1.6047619047619046,1022.8666666666667,2010,201002,2,2010-01-16,1023.6476190476191
Rhode Island,44,2010-01-16,-2.228571428571428,1019.4,2010,201002,2,2010-01-16,1019.2285714285714
South Carolina,45,2010-01-16,3.780952380952381,1022.5333333333334,2010,201002,2,2010-01-16,1025.9380952380955
South Dakota,46,2010-01-16,-4.433333333333333,1013.0333333333333,2010,201002,2,2010-01-16,1020.104761904762
Tennessee,47,2010-01-16,0.40000000000000024,1018.8333333333334,2010,201002,2,2010-01-16,1027.1999999999998
Texas,48,2010-01-16,7.992857142857141,1015.1999999999999,2010,201002,2,2010-01-16,1024.8714285714284
Utah,49,2010-01-16,-4.414285714285714,1021.9,2010,201002,2,2010-01-16,1027.7285714285713
Vermont,50,2010-01-16,-5.804761904761905,1019.2,2010,201002,2,2010-01-16,1019.6714285714286
Virginia,51,2010-01-16,1.404761904761905,1024.2,2010,201002,2,2010-01-16,1024.2190476190476
Washington,53,2010-01-16,6.785714285714285,1010.6,2010,201002,2,2010-01-16,1013.4857142857143
West Virginia,54,2010-01-16,-1.7190476190476187,1023.0,2010,201002,2,2010-01-16,1026.438095238095
Wisconsin,55,2010-01-16,-5.338095238095238,1020.4333333333333,2010,201002,2,2010-01-16,1022.2047619047618
Wyoming,56,2010-01-16,1.1571428571428573,1013.9000000000001,2010,201002,2,2010-01-16,1021.6000000000001
Alabama,01,2010-01-23,11.099999999999998,1012.7333333333332,2010,201003,3,2010-01-23,1011.8214285714286
Alaska,02,2010-01-23,-12.042857142857144,1015.1,2010,201003,3,2010-01-23,995.2761904761904
Arizona,04,2010-01-23,12.53809523809524,1011.1,2010,201003,3,2010-01-23,1006.8380952380952
Arkansas,05,2010-01-23,9.164285714285715,1000.5,2010,201003,3,2010-01-23,1007.4000000000002
California,06,2010-01-23,11.757142857142858,1015.9333333333334,2010,201003,3,2010-01-23,1004.2047619047619
Colorado,08,2010-01-23,1.3904761904761904,997.0,2010,201003,3,2010-01-23,1002.2904761904763
Connecticut,09,2010-01-23,1.6190476190476188,1023.9333333333334,2010,201003,3,2010-01-23,1015.4666666666668
