weekendingdate,location,pct_hosp,date
2024-05-11T00:00:00.000,27,0.0075,2024-05-11
2024-05-11T00:00:00.000,29,0.4839,2024-05-11
2024-05-11T00:00:00.000,69,0.0,2024-05-11
2024-05-11T00:00:00.000,28,0.6604,2024-05-11
2024-05-11T00:00:00.000,30,0.6825,2024-05-11
2024-05-11T00:00:00.000,37,0.0667,2024-05-11
2024-05-11T00:00:00.000,38,0.3673,2024-05-11
2024-05-11T00:00:00.000,31,0.3367,2024-05-11
2024-05-11T00:00:00.000,33,0.3077,2024-05-11
2024-05-11T00:00:00.000,34,0.9647,2024-05-11
2024-05-11T00:00:00.000,35,0.9184,2024-05-11
2024-05-11T00:00:00.000,32,0.1373,2024-05-11
2024-05-11T00:00:00.000,36,0.6098,2024-05-11
2024-05-11T00:00:00.000,39,0.3645,2024-05-11
2024-05-11T00:00:00.000,40,0.2624,2024-05-11
2024-05-11T00:00:00.000,41,0.4839,2024-05-11
2024-05-11T00:00:00.000,42,0.7339,2024-05-11
2024-05-11T00:00:00.000,72,0.9815,2024-05-11
2024-05-11T00:00:00.000,44,1.0,2024-05-11
2024-05-11T00:00:00.000,45,0.3467,2024-05-11
2024-05-11T00:00:00.000,46,0.459,2024-05-11
2024-05-11T00:00:00.000,47,0.4662,2024-05-11
2024-05-11T00:00:00.000,48,0.0788,2024-05-11
2024-05-11T00:00:00.000,US,0.4695,2024-05-11
2024-05-11T00:00:00.000,49,0.6071,2024-05-11
2024-05-11T00:00:00.000,51,0.4158,2024-05-11
2024-05-11T00:00:00.000,78,1.0,2024-05-11
2024-05-11T00:00:00.000,50,0.5333,2024-05-11
2024-05-11T00:00:00.000,53,0.9897,2024-05-11
2024-05-11T00:00:00.000,55,0.7347,2024-05-11
2024-05-11T00:00:00.000,54,0.0847,2024-05-11
2024-05-11T00:00:00.000,56,0.8667,2024-05-11
2024-05-18T00:00:00.000,02,0.5833,2024-05-18
2024-05-18T00:00:00.000,01,0.12,2024-05-18
2024-05-18T00:00:00.000,05,0.4022,2024-05-18
2024-05-18T00:00:00.000,60,1.0,2024-05-18
2024-05-18T00:00:00.000,04,0.404,2024-05-18
2024-05-18T00:00:00.000,06,0.539,2024-05-18
2024-05-18T00:00:00.000,08,0.38,2024-05-18
2024-05-18T00:00:00.000,09,0.9063,2024-05-18
2024-05-18T00:00:00.000,11,0.7273,2024-05-18
2024-05-18T00:00:00.000,10,0.6364,2024-05-18
2024-05-18T00:00:00.000,12,0.3891,2024-05-18
2024-05-18T00:00:00.000,13,0.2875,2024-05-18
2024-05-18T00:00:00.000,66,0.5,2024-05-18
2024-05-18T00:00:00.000,15,0.25,2024-05-18
2024-05-18T00:00:00.000,19,0.3197,2024-05-18
2024-05-18T00:00:00.000,16,0.5957,2024-05-18
2024-05-18T00:00:00.000,17,0.5224,2024-05-18
2024-05-18T00:00:00.000,18,0.4648,2024-05-18
2024-05-18T00:00:00.000,20,0.4406,2024-05-18
2024-05-18T00:00:00.000,21,0.3839,2024-05-18
2024-05-18T00:00:00.000,22,0.4753,2024-05-18
2024-05-18T00:00:00.000,25,0.0,2024-05-18
2024-05-18T00:00:00.000,24,0.4706,2024-05-18
2024-05-18T00:00:00.000,23,0.5405,2024-05-18
2024-05-18T00:00:00.000,26,0.6795,2024-05-18
2024-05-18T00:00:00.000,27,0.0,2024-05-18
2024-05-18T00:00:00.000,29,0.4355,2024-05-18
2024-05-18T00:00:00.000,69,0.0,2024-05-18
